10 èþë. 2020 11:52:30,582 - 0
10 èþë. 2020 11:53:09,784 - 1
10 èþë. 2020 11:54:52,434 - 1
10 èþë. 2020 11:54:56,383 - 5
10 èþë. 2020 11:54:57,222 - 1
10 èþë. 2020 11:54:58,174 - 0
10 èþë. 2020 11:54:58,830 - 0
10 èþë. 2020 11:54:59,649 - 0
10 èþë. 2020 11:55:00,457 - 0
10 èþë. 2020 11:55:01,731 - 0
10 èþë. 2020 11:55:28,399 - ÈÍÖ-001717985
10 èþë. 2020 11:55:32,264 - q
10 èþë. 2020 11:56:01,180 - 1
10 èþë. 2020 11:56:03,828 - 1
10 èþë. 2020 11:56:06,676 - 1
10 èþë. 2020 11:56:07,678 - 0
10 èþë. 2020 11:56:08,508 - 0
10 èþë. 2020 11:56:09,346 - 0
10 èþë. 2020 11:56:10,238 - 0
10 èþë. 2020 11:56:11,073 - 0
10 èþë. 2020 11:56:13,745 - ÇÍÎ-001402849
10 èþë. 2020 11:56:15,674 - q
10 èþë. 2020 12:00:29,596 - 1
10 èþë. 2020 12:00:33,472 - 1
10 èþë. 2020 12:00:34,871 - 1
10 èþë. 2020 12:00:37,253 - 0
10 èþë. 2020 12:00:37,974 - 0
10 èþë. 2020 12:00:38,797 - 0
10 èþë. 2020 12:00:40,519 - 0
10 èþë. 2020 12:00:41,915 - 0
10 èþë. 2020 12:00:59,606 - ÈÍÖ-001671060
10 èþë. 2020 12:01:04,773 - 2
10 èþë. 2020 12:01:08,091 - ÈÍÖ-001671060
10 èþë. 2020 12:05:02,094 - 1
10 èþë. 2020 12:05:03,339 - 2
10 èþë. 2020 12:05:04,252 - 2
10 èþë. 2020 12:05:05,541 - 0
10 èþë. 2020 12:05:06,187 - 0
10 èþë. 2020 12:05:06,860 - 0
10 èþë. 2020 12:05:07,624 - 0
10 èþë. 2020 12:05:08,892 - 0
10 èþë. 2020 12:05:10,632 - ÈÍÖ-001715117
10 èþë. 2020 12:05:27,017 - ÈÍÖ-001671060
10 èþë. 2020 12:05:32,123 - 2
10 èþë. 2020 12:05:33,383 - ÈÍÖ-001671060
10 èþë. 2020 12:06:03,343 - 1
10 èþë. 2020 12:06:06,730 - 2
10 èþë. 2020 12:06:08,677 - 2
10 èþë. 2020 12:06:09,417 - 0
10 èþë. 2020 12:06:10,025 - 0
10 èþë. 2020 12:06:10,706 - 0
10 èþë. 2020 12:06:16,595 - 0
10 èþë. 2020 12:06:18,891 - 0
10 èþë. 2020 12:06:29,209 - ÈÍÖ-001671060
10 èþë. 2020 12:06:37,499 - ÇÍÎ-001373452
10 èþë. 2020 12:06:57,537 - 1
10 èþë. 2020 12:07:00,742 - 2
10 èþë. 2020 12:07:04,505 - 2
10 èþë. 2020 12:07:05,312 - 0
10 èþë. 2020 12:07:06,004 - 0
10 èþë. 2020 12:07:06,696 - 0
10 èþë. 2020 12:07:07,502 - 0
10 èþë. 2020 12:07:08,754 - 0
10 èþë. 2020 12:07:10,313 - ÇÍÎ-001373452
10 èþë. 2020 12:07:18,979 - ÈÍÖ-001671060
10 èþë. 2020 12:07:28,246 - 2
10 èþë. 2020 12:07:29,663 - ÇÍÎ-001373452
10 èþë. 2020 12:13:43,311 - 2
10 èþë. 2020 12:13:45,109 - ÈÍÖ-001671060
10 èþë. 2020 12:38:03,920 - 2
10 èþë. 2020 12:38:06,019 - ÈÍÖ-001671060
10 èþë. 2020 12:41:56,149 - 2
10 èþë. 2020 12:41:57,373 - ÈÍÖ-001671060
10 èþë. 2020 12:47:14,706 - 2
10 èþë. 2020 12:47:16,105 - ÈÍÖ-001671060
10 èþë. 2020 12:49:25,715 - 2
10 èþë. 2020 12:49:26,892 - ÈÍÖ-001671060
10 èþë. 2020 12:51:16,055 - 2
10 èþë. 2020 12:51:16,941 - ÈÍÖ-001671060
10 èþë. 2020 12:51:18,830 - q
10 èþë. 2020 12:55:14,389 - 2
10 èþë. 2020 12:55:15,738 - ÈÍÖ-001671060
10 èþë. 2020 12:55:22,748 - 2
10 èþë. 2020 12:55:24,043 - ÈÍÖ-001671060
10 èþë. 2020 12:55:47,708 - 5
10 èþë. 2020 12:55:49,026 - ÈÍÖ-001671060
10 èþë. 2020 12:55:50,506 - q
10 èþë. 2020 12:59:53,841 - 1
10 èþë. 2020 12:59:54,900 - 34
10 èþë. 2020 13:00:01,670 - 9
10 èþë. 2020 13:00:03,293 - 0
10 èþë. 2020 13:00:03,680 - 0
10 èþë. 2020 13:00:04,008 - 0
10 èþë. 2020 13:00:04,340 - 0
10 èþë. 2020 13:00:04,670 - 0
10 èþë. 2020 13:00:07,305 - ÇÍÎ-001402849
10 èþë. 2020 13:04:03,025 - 1
10 èþë. 2020 13:04:05,327 - 1
10 èþë. 2020 13:04:06,401 - 1
10 èþë. 2020 13:04:07,675 - 0
10 èþë. 2020 13:04:08,266 - 0
10 èþë. 2020 13:04:08,851 - 0
10 èþë. 2020 13:04:09,639 - 0
10 èþë. 2020 13:04:10,530 - 0
10 èþë. 2020 13:04:27,263 - ÇÍÎ-001402849
10 èþë. 2020 13:05:31,796 - 2
10 èþë. 2020 13:05:32,994 - ÇÍÎ-001402849
10 èþë. 2020 13:06:10,344 - 1
10 èþë. 2020 13:06:11,703 - 1
10 èþë. 2020 13:06:12,479 - 1
10 èþë. 2020 13:06:13,642 - 0
10 èþë. 2020 13:06:14,302 - 0
10 èþë. 2020 13:06:14,981 - 0
10 èþë. 2020 13:06:15,754 - 0
10 èþë. 2020 13:06:17,076 - 0
10 èþë. 2020 13:06:19,174 - ÇÍÎ-001402849
10 èþë. 2020 13:06:23,716 - 5
10 èþë. 2020 13:06:24,968 - ÇÍÎ-001402849
10 èþë. 2020 13:06:26,824 - q
10 èþë. 2020 13:07:28,775 - 1
10 èþë. 2020 13:07:29,924 - 1
10 èþë. 2020 13:07:31,921 - 1
10 èþë. 2020 13:07:32,636 - 0
10 èþë. 2020 13:07:33,152 - 0
10 èþë. 2020 13:07:33,752 - 0
10 èþë. 2020 13:07:34,519 - 0
10 èþë. 2020 13:07:35,278 - 0
10 èþë. 2020 13:07:37,124 - ÇÍÎ-001402849
10 èþë. 2020 13:09:28,756 - 1
10 èþë. 2020 13:09:29,703 - 1
10 èþë. 2020 13:09:30,410 - 1
10 èþë. 2020 13:09:31,516 - 0
10 èþë. 2020 13:09:32,154 - 0
10 èþë. 2020 13:09:32,716 - 0
10 èþë. 2020 13:09:33,673 - 0
10 èþë. 2020 13:09:34,762 - 0
10 èþë. 2020 13:09:36,157 - ÇÍÎ-001402849
10 èþë. 2020 13:09:45,981 - q
10 èþë. 2020 13:10:04,553 - 2
10 èþë. 2020 13:10:06,156 - ÇÍÎ-001402849
10 èþë. 2020 13:44:22,525 - 1
10 èþë. 2020 13:44:24,602 - 1
10 èþë. 2020 13:44:25,377 - 1
10 èþë. 2020 13:44:26,463 - 0
10 èþë. 2020 13:44:27,027 - 0
10 èþë. 2020 13:44:27,560 - 0
10 èþë. 2020 13:44:28,327 - 0
10 èþë. 2020 13:44:29,780 - 0
10 èþë. 2020 13:44:31,594 - ÇÍÎ-001403422
10 èþë. 2020 13:45:39,077 - 3
10 èþë. 2020 13:45:54,955 - ÇÍÎ-001403422
10 èþë. 2020 13:47:39,651 - 2
10 èþë. 2020 13:47:45,420 - ÇÍÎ-001403422
10 èþë. 2020 13:53:26,272 - 1
10 èþë. 2020 13:53:28,013 - 2
10 èþë. 2020 13:53:28,774 - 2
10 èþë. 2020 13:53:29,911 - 0
10 èþë. 2020 13:53:30,256 - 0
10 èþë. 2020 13:53:30,527 - 0
10 èþë. 2020 13:53:30,790 - 0
10 èþë. 2020 13:53:31,626 - 0
10 èþë. 2020 13:53:34,438 - ÇÍÎ-001404057
10 èþë. 2020 13:53:37,759 - ÇÍÎ-001404058
10 èþë. 2020 13:54:02,877 - 2
10 èþë. 2020 13:54:05,664 - ÇÍÎ-001404057
10 èþë. 2020 13:54:58,848 - 1
10 èþë. 2020 13:55:02,538 - 2
10 èþë. 2020 13:55:03,439 - 2
10 èþë. 2020 13:55:04,305 - 0
10 èþë. 2020 13:55:04,763 - 0
10 èþë. 2020 13:55:05,189 - 0
10 èþë. 2020 13:55:05,835 - 0
10 èþë. 2020 13:55:06,628 - 0
10 èþë. 2020 13:55:08,166 - ÇÍÎ-001404057
10 èþë. 2020 13:55:10,669 - ÇÍÎ-001404058
10 èþë. 2020 13:55:39,090 - 2
10 èþë. 2020 13:55:40,410 - ÇÍÎ-001404057
10 èþë. 2020 13:56:05,008 - 2
10 èþë. 2020 13:56:07,542 - ÇÍÎ-001404058
10 èþë. 2020 13:56:46,109 - 2
10 èþë. 2020 13:56:47,454 - ÇÍÎ-001404057
10 èþë. 2020 15:21:56,745 - 2
10 èþë. 2020 15:21:58,058 - ÇÍÎ-001402849
10 èþë. 2020 15:25:41,877 - 2
10 èþë. 2020 15:25:42,808 - ÇÍÎ-001402849
10 èþë. 2020 15:28:18,334 - 1
10 èþë. 2020 15:28:19,433 - 1
10 èþë. 2020 15:28:20,187 - 1
10 èþë. 2020 15:28:21,227 - 0
10 èþë. 2020 15:28:21,651 - 0
10 èþë. 2020 15:28:22,013 - 0
10 èþë. 2020 15:28:22,763 - 0
10 èþë. 2020 15:28:23,750 - 0
10 èþë. 2020 15:28:25,445 - ÇÍÎ-001402849
10 èþë. 2020 15:28:27,623 - q
10 èþë. 2020 15:28:40,405 - 2
10 èþë. 2020 15:28:42,187 - ÇÍÎ-001402849
10 èþë. 2020 15:28:46,293 - q
10 èþë. 2020 15:29:18,298 - 2
10 èþë. 2020 15:29:19,504 - ÇÍÎ-001402849
10 èþë. 2020 15:29:22,927 - 3
10 èþë. 2020 15:29:26,002 - ÇÍÎ-001402848
10 èþë. 2020 15:29:27,558 - q
10 èþë. 2020 15:33:07,256 - 1
10 èþë. 2020 15:33:08,718 - 2
10 èþë. 2020 15:33:09,519 - 2
10 èþë. 2020 15:33:10,543 - 0
10 èþë. 2020 15:33:11,149 - 0
10 èþë. 2020 15:33:11,686 - 0
10 èþë. 2020 15:33:12,316 - 0
10 èþë. 2020 15:33:13,071 - 0
10 èþë. 2020 15:33:31,338 - ÇÍÎ-001373452
10 èþë. 2020 15:33:49,223 - ÇÍÎ-001373452
10 èþë. 2020 15:33:53,382 - ÇÍÎ-001373453
10 èþë. 2020 15:34:43,484 - 2
10 èþë. 2020 15:34:50,145 - ÇÍÎ-001373452
10 èþë. 2020 15:39:00,522 - 1
10 èþë. 2020 15:39:01,865 - 2
10 èþë. 2020 15:39:02,658 - 2
10 èþë. 2020 15:39:03,741 - 0
10 èþë. 2020 15:39:04,493 - 0
10 èþë. 2020 15:39:05,273 - 0
10 èþë. 2020 15:39:06,440 - 0
10 èþë. 2020 15:39:07,883 - 0
10 èþë. 2020 15:39:09,293 - ÇÍÎ-001373452
10 èþë. 2020 15:39:46,884 - ÇÍÎ-001373452
10 èþë. 2020 15:39:50,338 - ÇÍÎ-001373453
10 èþë. 2020 15:43:15,298 - 1
10 èþë. 2020 15:43:16,494 - 2
10 èþë. 2020 15:43:17,325 - 2
10 èþë. 2020 15:43:18,366 - 0
10 èþë. 2020 15:43:19,034 - 0
10 èþë. 2020 15:43:19,705 - 0
10 èþë. 2020 15:43:20,593 - 0
10 èþë. 2020 15:43:21,914 - 0
10 èþë. 2020 15:43:34,597 - ÇÍÎ-001373452
10 èþë. 2020 15:43:37,911 - ÇÍÎ-001373453
10 èþë. 2020 15:43:48,005 - 2
10 èþë. 2020 15:43:50,093 - ÇÍÎ-001373452
10 èþë. 2020 15:43:52,027 - q
10 èþë. 2020 15:53:30,417 - 1
10 èþë. 2020 15:53:32,325 - 2
10 èþë. 2020 15:53:33,181 - 2
10 èþë. 2020 15:53:33,690 - 0
10 èþë. 2020 15:53:34,094 - 0
10 èþë. 2020 15:53:34,884 - 0
10 èþë. 2020 15:53:35,767 - 0
10 èþë. 2020 15:53:36,989 - 0
10 èþë. 2020 15:53:38,289 - ÇÍÎ-001402433
10 èþë. 2020 15:53:40,777 - ÇÍÎ-001402433
10 èþë. 2020 15:53:44,416 - ÇÍÎ-001402435
10 èþë. 2020 15:53:46,029 - q
13 èþë. 2020 13:56:24,213 - 6
13 èþë. 2020 14:26:08,483 - 6
13 èþë. 2020 14:27:02,096 - 6
13 èþë. 2020 14:28:51,871 - 6
13 èþë. 2020 14:31:41,757 - 6
13 èþë. 2020 16:31:07,263 - 1
13 èþë. 2020 16:31:10,716 - 41
13 èþë. 2020 16:31:13,461 - 20
13 èþë. 2020 16:33:37,383 - 1
13 èþë. 2020 16:33:39,151 - 50
13 èþë. 2020 16:33:40,692 - 20
13 èþë. 2020 16:35:46,251 - 6
14 èþë. 2020 10:13:28,077 - 1
14 èþë. 2020 10:13:30,999 - 28
14 èþë. 2020 10:13:33,169 - 13
14 èþë. 2020 10:15:59,610 - 1
14 èþë. 2020 10:16:01,594 - 28
14 èþë. 2020 10:16:03,390 - 13
14 èþë. 2020 10:19:36,172 - 1
14 èþë. 2020 10:19:38,145 - 28
14 èþë. 2020 10:19:39,929 - 13
14 èþë. 2020 10:20:37,409 - 1
14 èþë. 2020 10:20:39,005 - 28
14 èþë. 2020 10:20:40,352 - 13
14 èþë. 2020 10:21:19,861 - 1
14 èþë. 2020 10:21:21,223 - 28
14 èþë. 2020 10:21:25,136 - 13
14 èþë. 2020 10:22:36,525 - 6
14 èþë. 2020 10:30:19,957 - 1
14 èþë. 2020 10:30:24,887 - 28
14 èþë. 2020 10:30:27,808 - 13
14 èþë. 2020 10:30:30,448 - 10
14 èþë. 2020 10:30:32,807 - 2
14 èþë. 2020 10:30:33,979 - 5
14 èþë. 2020 10:30:35,822 - 3
14 èþë. 2020 10:31:06,971 - 1
14 èþë. 2020 10:31:08,362 - 28
14 èþë. 2020 10:31:09,580 - 13
14 èþë. 2020 10:31:11,049 - 10
14 èþë. 2020 10:31:12,189 - 2
14 èþë. 2020 10:31:13,407 - 5
14 èþë. 2020 10:31:14,751 - 3
14 èþë. 2020 10:31:15,688 - 0
14 èþë. 2020 10:31:33,322 - ÇÍÎ-001414275
14 èþë. 2020 10:34:00,943 - ÇÍÎ-001414276
14 èþë. 2020 10:34:51,409 - ÇÍÎ-001414275
14 èþë. 2020 10:34:55,705 - ÇÍÎ-001414277
14 èþë. 2020 10:35:47,006 - ÇÍÎ-001414278
14 èþë. 2020 10:40:34,996 - 1
14 èþë. 2020 10:40:36,387 - 28
14 èþë. 2020 10:40:37,996 - 13
14 èþë. 2020 10:40:39,605 - 10
14 èþë. 2020 10:40:42,307 - 2
14 èþë. 2020 10:40:43,369 - 5
14 èþë. 2020 10:40:44,150 - 3
14 èþë. 2020 10:40:45,259 - 0
14 èþë. 2020 10:40:58,726 - ÈÍÖ-001737863
14 èþë. 2020 10:42:41,983 - 1
14 èþë. 2020 10:42:43,842 - 28
14 èþë. 2020 10:42:46,045 - 13
14 èþë. 2020 10:42:48,091 - 10
14 èþë. 2020 10:42:55,448 - 2
14 èþë. 2020 10:43:24,738 - 5
14 èþë. 2020 10:44:34,016 - 1
14 èþë. 2020 10:44:35,687 - 28
14 èþë. 2020 10:44:37,219 - 13
14 èþë. 2020 10:44:39,202 - 10
14 èþë. 2020 10:44:41,655 - 2
14 èþë. 2020 10:44:42,217 - 5
14 èþë. 2020 10:44:43,248 - 3
14 èþë. 2020 10:44:44,310 - 0
14 èþë. 2020 10:44:45,779 - //pestov.setTasksWithTasks(countTasksWithTasks);
14 èþë. 2020 10:44:58,935 - ÇÍÎ-001414641
14 èþë. 2020 10:45:55,562 - ÇÍÎ-001414642
14 èþë. 2020 10:46:31,662 - ÇÍÎ-001414643
14 èþë. 2020 10:48:37,972 - 1
14 èþë. 2020 10:48:40,034 - 28
14 èþë. 2020 10:48:41,268 - 13
14 èþë. 2020 11:16:36,279 - 32
14 èþë. 2020 11:16:40,278 - 1
14 èþë. 2020 11:16:41,809 - 32
14 èþë. 2020 11:16:43,886 - 4
14 èþë. 2020 11:24:51,837 - 1
14 èþë. 2020 11:24:53,102 - 32
14 èþë. 2020 11:24:54,368 - 4
14 èþë. 2020 11:25:10,895 - 1
14 èþë. 2020 11:25:12,192 - 32
14 èþë. 2020 11:25:13,754 - 4
14 èþë. 2020 11:27:47,565 - 1
14 èþë. 2020 11:27:48,706 - 32
14 èþë. 2020 11:27:50,330 - 4
14 èþë. 2020 11:28:35,757 - 1
14 èþë. 2020 11:28:36,944 - 32
14 èþë. 2020 11:28:38,225 - 4
14 èþë. 2020 11:28:48,098 - 6
14 èþë. 2020 12:42:38,407 - 6
14 èþë. 2020 12:58:41,971 - 6
14 èþë. 2020 13:00:05,814 - 6
14 èþë. 2020 13:01:45,224 - 1
14 èþë. 2020 13:01:47,155 - 30
14 èþë. 2020 13:01:50,902 - 3
14 èþë. 2020 15:20:35,092 - 1
14 èþë. 2020 15:20:48,286 - 1
14 èþë. 2020 15:20:49,939 - 40
14 èþë. 2020 15:20:58,382 - 4
14 èþë. 2020 16:15:31,222 - 1
14 èþë. 2020 16:15:34,226 - 40
14 èþë. 2020 16:15:36,504 - 20
14 èþë. 2020 17:29:16,175 - 6
14 èþë. 2020 17:31:05,409 - 6
14 èþë. 2020 17:31:22,082 - 6
14 èþë. 2020 17:31:53,507 - 6
14 èþë. 2020 17:34:25,553 - 6
14 èþë. 2020 17:34:54,534 - 6
14 èþë. 2020 17:35:01,989 - q
15 èþë. 2020 12:18:50,033 - 
15 èþë. 2020 12:19:30,979 - 1
15 èþë. 2020 12:21:49,378 - 
15 èþë. 2020 12:40:09,999 - 
15 èþë. 2020 12:40:11,936 - 
15 èþë. 2020 12:40:15,880 - 
15 èþë. 2020 12:40:24,363 - 
15 èþë. 2020 12:40:46,203 - 
15 èþë. 2020 12:40:56,674 - 
15 èþë. 2020 12:41:08,807 - 
15 èþë. 2020 12:41:22,907 - 
15 èþë. 2020 12:41:49,913 - 
15 èþë. 2020 12:42:47,700 - 
15 èþë. 2020 12:46:05,367 - 1
15 èþë. 2020 12:47:12,398 - 1
15 èþë. 2020 12:47:16,692 - 3
15 èþë. 2020 12:47:17,978 - 2
15 èþë. 2020 12:47:19,653 - 0
15 èþë. 2020 12:47:20,514 - 0
15 èþë. 2020 12:47:43,890 - ÈÍÖ-001671060
15 èþë. 2020 12:47:46,506 - ÈÍÖ-001671061
15 èþë. 2020 12:47:58,659 - ÈÍÖ-001671060
15 èþë. 2020 12:48:13,697 - q
15 èþë. 2020 13:04:33,183 - 7
15 èþë. 2020 13:05:25,469 - 7
15 èþë. 2020 13:10:29,374 - 7
15 èþë. 2020 13:13:25,831 - 7
15 èþë. 2020 13:14:16,632 - 3
15 èþë. 2020 13:14:18,619 - ÇÍÎ-001411564
15 èþë. 2020 13:14:23,118 - q
15 èþë. 2020 13:14:58,557 - 3
15 èþë. 2020 13:15:00,122 - ÈÍÖ-001742935
15 èþë. 2020 13:15:02,625 - q
15 èþë. 2020 13:15:15,922 - 7
15 èþë. 2020 13:16:23,196 - 7
15 èþë. 2020 13:23:50,071 - 7
15 èþë. 2020 13:28:25,343 - 2
15 èþë. 2020 13:28:27,104 - ÈÍÖ-001742935
15 èþë. 2020 13:28:38,172 - ÇÍÎ-001411564
15 èþë. 2020 13:28:49,462 - 3
15 èþë. 2020 13:28:50,779 - ÇÍÎ-001411564
15 èþë. 2020 13:32:07,109 - ÈÍÖ-001720949 
15 èþë. 2020 15:26:10,313 - 1
15 èþë. 2020 15:26:49,483 - 1
